Begin Date of the Week,REDC Region,First Infections Count,Reinfections Count
08/08/2022,Long Island,6086,1514
08/08/2022,Mid-Hudson,4030,1002
08/08/2022,Mohawk Valley,711,160
08/08/2022,New York City,17280,3738
08/08/2022,North Country,547,110
08/08/2022,Southern Tier,637,197
08/08/2022,Western New York,1418,355
08/01/2022,Capital Region,1505,279
08/01/2022,Central New York,1065,233
08/01/2022,Finger Lakes,1121,238
08/01/2022,Long Island,6699,1680
08/01/2022,Mid-Hudson,4609,983
08/01/2022,Mohawk Valley,666,161
08/01/2022,New York City,20747,4607
08/01/2022,North Country,448,86
08/01/2022,Southern Tier,738,171
08/01/2022,Western New York,1521,349
07/25/2022,Capital Region,1582,287
07/25/2022,Central New York,932,194
07/25/2022,Finger Lakes,1114,215
07/25/2022,Long Island,7542,1852
07/25/2022,Mid-Hudson,5030,1106
07/25/2022,Mohawk Valley,596,149
07/25/2022,New York City,23542,5060
07/25/2022,North Country,443,71
07/25/2022,Southern Tier,806,148
07/25/2022,Western New York,1547,338
07/18/2022,Capital Region,1617,280
07/18/2022,Central New York,958,185
07/18/2022,Finger Lakes,1168,220
07/18/2022,Long Island,8488,2022
07/18/2022,Mid-Hudson,5031,1117
07/18/2022,Mohawk Valley,533,96
07/18/2022,New York City,25755,5192
07/18/2022,North Country,483,72
07/18/2022,Southern Tier,759,132
07/18/2022,Western New York,1631,344
07/11/2022,Capital Region,1607,262
07/11/2022,Central New York,835,156
07/11/2022,Finger Lakes,1048,167
07/11/2022,Long Island,8465,1980
07/11/2022,Mid-Hudson,4967,1030
07/11/2022,Mohawk Valley,486,68
07/11/2022,New York City,28064,5645
07/11/2022,North Country,441,75
07/11/2022,Southern Tier,631,103
07/11/2022,Western New York,1471,280
07/04/2022,Capital Region,1266,188
07/04/2022,Central New York,666,119
07/04/2022,Finger Lakes,894,140
07/04/2022,Long Island,8513,1853
07/04/2022,Mid-Hudson,5020,997
07/04/2022,Mohawk Valley,384,82
07/04/2022,New York City,27291,5069
07/04/2022,North Country,366,47
07/04/2022,Southern Tier,577,84
07/04/2022,Western New York,1161,223
06/27/2022,Capital Region,1180,158
06/27/2022,Central New York,543,73
06/27/2022,Finger Lakes,752,116
06/27/2022,Long Island,7307,1502
06/27/2022,Mid-Hudson,4792,886
06/27/2022,Mohawk Valley,420,62
06/27/2022,New York City,23853,4297
06/27/2022,North Country,325,37
06/27/2022,Southern Tier,503,76
06/27/2022,Western New York,1064,182
06/20/2022,Capital Region,1157,126
06/20/2022,Central New York,588,85
06/20/2022,Finger Lakes,651,116
06/20/2022,Long Island,6584,1274
06/20/2022,Mid-Hudson,4259,779
06/20/2022,Mohawk Valley,399,86
06/20/2022,New York City,20733,3584
06/20/2022,North Country,294,47
06/20/2022,Southern Tier,461,76
06/20/2022,Western New York,1045,193
06/13/2022,Capital Region,999,138
06/13/2022,Central New York,541,62
06/13/2022,Finger Lakes,716,110
06/13/2022,Long Island,6172,1084
06/13/2022,Mid-Hudson,3770,680
06/13/2022,Mohawk Valley,381,46
06/13/2022,New York City,19324,3116
06/13/2022,North Country,317,36
06/13/2022,Southern Tier,477,86
06/13/2022,Western New York,829,137
06/06/2022,Capital Region,1285,139
06/06/2022,Central New York,567,101
06/06/2022,Finger Lakes,853,114
06/06/2022,Long Island,6149,1131
06/06/2022,Mid-Hudson,4137,680
06/06/2022,Mohawk Valley,390,53
06/06/2022,New York City,19262,2977
06/06/2022,North Country,428,54
06/06/2022,Southern Tier,544,63
06/06/2022,Western New York,1093,161
05/30/2022,Capital Region,1764,231
05/30/2022,Central New York,568,70
05/30/2022,Finger Lakes,1063,142
05/30/2022,Long Island,7513,1293
05/30/2022,Mid-Hudson,4833,754
05/30/2022,Mohawk Valley,567,79
05/30/2022,New York City,21052,3282
05/30/2022,North Country,502,70
05/30/2022,Southern Tier,790,120
05/30/2022,Western New York,1462,239
05/23/2022,Capital Region,2447,326
05/23/2022,Central New York,878,104
05/23/2022,Finger Lakes,1584,253
05/23/2022,Long Island,8681,1479
05/23/2022,Mid-Hudson,5918,886
05/23/2022,Mohawk Valley,846,149
05/23/2022,New York City,23838,3708
05/23/2022,North Country,660,75
05/23/2022,Southern Tier,1177,162
05/23/2022,Western New York,2389,343
05/16/2022,Capital Region,3522,434
05/16/2022,Central New York,1205,155
05/16/2022,Finger Lakes,2529,353
05/16/2022,Long Island,11589,1871
05/16/2022,Mid-Hudson,7419,1055
05/16/2022,Mohawk Valley,1187,218
05/16/2022,New York City,26848,3876
05/16/2022,North Country,881,102
05/16/2022,Southern Tier,1716,270
05/16/2022,Western New York,3971,548
05/09/2022,Capital Region,4279,492
05/09/2022,Central New York,1795,257
05/09/2022,Finger Lakes,3491,505
05/09/2022,Long Island,12647,1929
05/09/2022,Mid-Hudson,8628,1190
05/09/2022,Mohawk Valley,1400,241
05/09/2022,New York City,26633,3596
05/09/2022,North Country,1120,133
05/09/2022,Southern Tier,2235,374
05/09/2022,Western New York,5690,830
05/02/2022,Capital Region,4254,469
05/02/2022,Central New York,2217,282
05/02/2022,Finger Lakes,3573,489
05/02/2022,Long Island,10618,1448
05/02/2022,Mid-Hudson,7363,1000
05/02/2022,Mohawk Valley,1707,260
05/02/2022,New York City,24543,2996
05/02/2022,North Country,1120,112
05/02/2022,Southern Tier,2444,382
05/02/2022,Western New York,6085,800
04/25/2022,Capital Region,3638,385
04/25/2022,Central New York,2414,315
04/25/2022,Finger Lakes,3737,483
04/25/2022,Long Island,8045,1094
04/25/2022,Mid-Hudson,5737,678
04/25/2022,Mohawk Valley,1750,261
04/25/2022,New York City,19904,2279
04/25/2022,North Country,1108,120
04/25/2022,Southern Tier,2240,308
04/25/2022,Western New York,5645,719
04/18/2022,Capital Region,2971,275
04/18/2022,Central New York,2790,375
04/18/2022,Finger Lakes,3823,416
04/18/2022,Long Island,6197,778
04/18/2022,Mid-Hudson,4589,507
04/18/2022,Mohawk Valley,1639,236
04/18/2022,New York City,15558,1652
04/18/2022,North Country,984,97
04/18/2022,Southern Tier,2095,287
04/18/2022,Western New York,4560,550
04/11/2022,Capital Region,2322,214
04/11/2022,Central New York,2846,308
04/11/2022,Finger Lakes,2988,329
04/11/2022,Long Island,6009,808
04/11/2022,Mid-Hudson,4277,431
04/11/2022,Mohawk Valley,1562,224
04/11/2022,New York City,15789,1762
04/11/2022,North Country,805,75
04/11/2022,Southern Tier,1796,221
04/11/2022,Western New York,3140,370
04/04/2022,Capital Region,1652,134
04/04/2022,Central New York,2907,330
04/04/2022,Finger Lakes,2304,255
04/04/2022,Long Island,4759,606
04/04/2022,Mid-Hudson,4118,442
04/04/2022,Mohawk Valley,1243,160
04/04/2022,New York City,13972,1347
04/04/2022,North Country,703,58
04/04/2022,Southern Tier,1494,220
04/04/2022,Western New York,2087,195
03/28/2022,Capital Region,1045,95
