Begin Date of the Week,REDC Region,First Infections Count,Reinfections Count
06/07/2021,North Country,61,1
06/07/2021,Southern Tier,86,4
06/07/2021,Western New York,124,3
05/31/2021,Capital Region,144,4
05/31/2021,Central New York,180,6
05/31/2021,Finger Lakes,363,13
05/31/2021,Long Island,503,36
05/31/2021,Mid-Hudson,379,31
05/31/2021,Mohawk Valley,118,5
05/31/2021,New York City,1685,76
05/31/2021,North Country,66,1
05/31/2021,Southern Tier,186,11
05/31/2021,Western New York,240,6
05/24/2021,Capital Region,238,5
05/24/2021,Central New York,393,11
05/24/2021,Finger Lakes,622,23
05/24/2021,Long Island,569,53
05/24/2021,Mid-Hudson,460,23
05/24/2021,Mohawk Valley,162,4
05/24/2021,New York City,2104,70
05/24/2021,North Country,109,2
05/24/2021,Southern Tier,254,9
05/24/2021,Western New York,407,9
05/17/2021,Capital Region,413,11
05/17/2021,Central New York,506,17
05/17/2021,Finger Lakes,1119,26
05/17/2021,Long Island,919,64
05/17/2021,Mid-Hudson,731,39
05/17/2021,Mohawk Valley,230,3
05/17/2021,New York City,3025,104
05/17/2021,North Country,224,3
05/17/2021,Southern Tier,379,7
05/17/2021,Western New York,751,18
05/10/2021,Capital Region,542,8
05/10/2021,Central New York,642,14
05/10/2021,Finger Lakes,1518,22
05/10/2021,Long Island,1394,74
05/10/2021,Mid-Hudson,1005,29
05/10/2021,Mohawk Valley,289,11
05/10/2021,New York City,4423,108
05/10/2021,North Country,322,4
05/10/2021,Southern Tier,524,13
05/10/2021,Western New York,1066,29
05/03/2021,Capital Region,770,10
05/03/2021,Central New York,690,14
05/03/2021,Finger Lakes,1898,50
05/03/2021,Long Island,1840,82
05/03/2021,Mid-Hudson,1435,42
05/03/2021,Mohawk Valley,460,8
05/03/2021,New York City,6132,130
05/03/2021,North Country,386,5
05/03/2021,Southern Tier,591,8
05/03/2021,Western New York,1530,25
04/26/2021,Capital Region,798,14
04/26/2021,Central New York,941,15
04/26/2021,Finger Lakes,2053,23
04/26/2021,Long Island,2727,82
04/26/2021,Mid-Hudson,2096,46
04/26/2021,Mohawk Valley,463,13
04/26/2021,New York City,9029,157
04/26/2021,North Country,402,6
04/26/2021,Southern Tier,690,13
04/26/2021,Western New York,2109,13
04/19/2021,Capital Region,912,11
04/19/2021,Central New York,904,14
04/19/2021,Finger Lakes,2219,33
04/19/2021,Long Island,3792,86
04/19/2021,Mid-Hudson,3014,67
04/19/2021,Mohawk Valley,549,8
04/19/2021,New York City,12206,162
04/19/2021,North Country,356,4
04/19/2021,Southern Tier,872,18
04/19/2021,Western New York,2818,40
04/12/2021,Capital Region,1368,18
04/12/2021,Central New York,1066,14
04/12/2021,Finger Lakes,2407,37
04/12/2021,Long Island,5719,115
04/12/2021,Mid-Hudson,4229,69
04/12/2021,Mohawk Valley,679,18
04/12/2021,New York City,17765,184
04/12/2021,North Country,422,7
04/12/2021,Southern Tier,1034,12
04/12/2021,Western New York,4071,40
04/05/2021,Capital Region,1606,20
04/05/2021,Central New York,1051,18
04/05/2021,Finger Lakes,2655,33
04/05/2021,Long Island,7805,118
04/05/2021,Mid-Hudson,5710,67
04/05/2021,Mohawk Valley,740,7
04/05/2021,New York City,23077,222
04/05/2021,North Country,459,8
04/05/2021,Southern Tier,900,6
04/05/2021,Western New York,4515,33
03/29/2021,Capital Region,1635,14
03/29/2021,Central New York,979,16
03/29/2021,Finger Lakes,2098,30
03/29/2021,Long Island,8861,114
03/29/2021,Mid-Hudson,6706,104
03/29/2021,Mohawk Valley,658,5
03/29/2021,New York City,25189,206
03/29/2021,North Country,443,2
03/29/2021,Southern Tier,1016,13
03/29/2021,Western New York,4109,33
03/22/2021,Capital Region,1827,20
03/22/2021,Central New York,854,13
03/22/2021,Finger Lakes,1720,28
03/22/2021,Long Island,10108,107
03/22/2021,Mid-Hudson,7942,109
03/22/2021,Mohawk Valley,712,13
03/22/2021,New York City,29215,257
03/22/2021,North Country,450,5
03/22/2021,Southern Tier,1061,11
03/22/2021,Western New York,3470,26
03/15/2021,Capital Region,1437,11
03/15/2021,Central New York,736,12
03/15/2021,Finger Lakes,1387,28
03/15/2021,Long Island,9102,80
03/15/2021,Mid-Hudson,7206,77
03/15/2021,Mohawk Valley,687,6
03/15/2021,New York City,27025,193
03/15/2021,North Country,350,7
03/15/2021,Southern Tier,897,8
03/15/2021,Western New York,2542,28
03/08/2021,Capital Region,1328,10
03/08/2021,Central New York,624,11
03/08/2021,Finger Lakes,1329,16
03/08/2021,Long Island,8990,88
03/08/2021,Mid-Hudson,7010,71
03/08/2021,Mohawk Valley,584,4
03/08/2021,New York City,27030,180
03/08/2021,North Country,371,3
03/08/2021,Southern Tier,863,12
03/08/2021,Western New York,2117,19
03/01/2021,Capital Region,1330,11
03/01/2021,Central New York,711,15
03/01/2021,Finger Lakes,1270,15
03/01/2021,Long Island,8586,72
03/01/2021,Mid-Hudson,6550,65
03/01/2021,Mohawk Valley,643,6
03/01/2021,New York City,26211,198
03/01/2021,North Country,605,2
03/01/2021,Southern Tier,1036,24
03/01/2021,Western New York,2010,20
02/22/2021,Capital Region,1482,10
02/22/2021,Central New York,787,10
02/22/2021,Finger Lakes,1527,15
02/22/2021,Long Island,8735,67
02/22/2021,Mid-Hudson,6507,69
02/22/2021,Mohawk Valley,686,5
02/22/2021,New York City,27565,192
02/22/2021,North Country,827,4
02/22/2021,Southern Tier,980,10
02/22/2021,Western New York,2277,12
02/15/2021,Capital Region,1353,8
02/15/2021,Central New York,811,4
02/15/2021,Finger Lakes,1530,8
02/15/2021,Long Island,7900,65
02/15/2021,Mid-Hudson,6319,50
02/15/2021,Mohawk Valley,690,2
02/15/2021,New York City,25132,187
02/15/2021,North Country,917,5
02/15/2021,Southern Tier,955,12
02/15/2021,Western New York,2227,20
02/08/2021,Capital Region,1602,13
02/08/2021,Central New York,1017,9
02/08/2021,Finger Lakes,1750,11
02/08/2021,Long Island,9667,59
02/08/2021,Mid-Hudson,6895,56
02/08/2021,Mohawk Valley,822,3
02/08/2021,New York City,28862,182
02/08/2021,North Country,1002,2
02/08/2021,Southern Tier,938,13
02/08/2021,Western New York,2907,27
02/01/2021,Capital Region,2232,8
02/01/2021,Central New York,1150,7
02/01/2021,Finger Lakes,2111,6
02/01/2021,Long Island,10062,56
02/01/2021,Mid-Hudson,6960,52
02/01/2021,Mohawk Valley,1031,4
02/01/2021,New York City,27536,167
02/01/2021,North Country,1109,1
02/01/2021,Southern Tier,1328,12
02/01/2021,Western New York,3149,15
01/25/2021,Capital Region,3183,18
01/25/2021,Central New York,1561,2
01/25/2021,Finger Lakes,2813,15
01/25/2021,Long Island,14430,85
01/25/2021,Mid-Hudson,9626,81
01/25/2021,Mohawk Valley,1493,13
01/25/2021,New York City,36904,204
01/25/2021,North Country,1371,3
01/25/2021,Southern Tier,1688,22
01/25/2021,Western New York,3975,8
01/18/2021,Capital Region,4307,14
01/18/2021,Central New York,2462,12
01/18/2021,Finger Lakes,3538,12
01/18/2021,Long Island,16804,88
01/18/2021,Mid-Hudson,11458,98
01/18/2021,Mohawk Valley,2049,5
01/18/2021,New York City,38197,201
01/18/2021,North Country,1730,3
01/18/2021,Southern Tier,2174,10
01/18/2021,Western New York,4646,17
01/11/2021,Capital Region,5399,30
01/11/2021,Central New York,3395,14
01/11/2021,Finger Lakes,5027,18
01/11/2021,Long Island,19444,90
01/11/2021,Mid-Hudson,12291,78
01/11/2021,Mohawk Valley,2811,9
01/11/2021,New York City,40410,193
01/11/2021,North Country,1946,1
01/11/2021,Southern Tier,2415,15
01/11/2021,Western New York,5955,17
01/04/2021,Capital Region,6931,22
01/04/2021,Central New York,4488,14
01/04/2021,Finger Lakes,6916,20
01/04/2021,Long Island,24601,116
01/04/2021,Mid-Hudson,14111,88
01/04/2021,Mohawk Valley,3581,14
01/04/2021,New York City,43639,210
01/04/2021,North Country,2175,3
01/04/2021,Southern Tier,3332,10
01/04/2021,Western New York,7425,18
