DATE,POPULATION,GROUP,SUBGROUP,POP_DENOMINATOR,COUNT_PARTIALLY_CUMULATIVE,COUNT_FULLY_CUMULATIVE,COUNT_1PLUS_CUMULATIVE,COUNT_ADDITIONAL_CUMULATIVE,PERC_PARTIALLY,PERC_FULLY,PERC_1PLUS,PERC_ADDITIONAL
2021-07-04,Adults (18+),Age,45-54,1028087,56227,683322,739549,NA,5.47,66.47,71.93,NA
2021-07-04,Adults (18+),Age,55-64,998924.42,50910,724320,775230,NA,5.1,72.51,77.61,NA
2021-07-04,Adults (18+),Age,65-74,718795,32505,543949,576454,NA,4.52,75.68,80.2,NA
2021-07-04,Adults (18+),Age,75-84,382674.58,16018,260299,276317,NA,4.19,68.02,72.21,NA
2021-07-04,Adults (18+),Age,85+,178938,7416,95816,103232,NA,4.14,53.55,57.69,NA
2021-07-04,Adults (18+),Borough,Citywide,6632694.82,355564,4142778,4498342,NA,5.36,62.46,67.82,NA
2021-07-04,Adults (18+),Borough,Bronx,1071774.44,62964,577728,640692,NA,5.87,53.9,59.78,NA
2021-07-04,Adults (18+),Borough,Brooklyn,1984839.78,99447,1117881,1217328,NA,5.01,56.32,61.33,NA
2021-07-04,Adults (18+),Borough,Manhattan,1383753.3,72157,986935,1059092,NA,5.21,71.32,76.54,NA
2021-07-04,Adults (18+),Borough,Queens,1819159.24,104792,1241221,1346013,NA,5.76,68.23,73.99,NA
2021-07-04,Adults (18+),Borough,Staten Island,373168.06,16204,219013,235217,NA,4.34,58.69,63.03,NA
2021-07-04,Adults (18+),Race/ethnicity,Asian/NHPI,1017642.02,56916,787339,844255,NA,5.59,77.37,82.96,NA
2021-07-04,Adults (18+),Race/ethnicity,Black,1452845.22,52053,514271,566324,NA,3.58,35.4,38.98,NA
2021-07-04,Adults (18+),Race/ethnicity,Hispanic/Latino,1823990.38,105564,887778,993342,NA,5.79,48.67,54.46,NA
2021-07-04,Adults (18+),Race/ethnicity,Native American/Alaska Native,15020.93,1107,10636,11743,NA,7.37,70.81,78.18,NA
2021-07-04,Adults (18+),Race/ethnicity,Other,NA,35419,375013,410432,NA,NA,NA,NA,NA
2021-07-04,Adults (18+),Race/ethnicity,Multiracial,96578.73,210,3096,3306,NA,0.22,3.21,3.42,NA
2021-07-04,Adults (18+),Race/ethnicity,Unknown,NA,40414,406498,446912,NA,NA,NA,NA,NA
2021-07-04,Adults (18+),Race/ethnicity,White,2226617.54,63881,1158147,1222028,NA,2.87,52.01,54.88,NA
2021-07-04,Adults (18+),Sex,Female,3524289.08,187650,2191920,2379570,NA,5.32,62.19,67.52,NA
2021-07-04,Adults (18+),Sex,Male,3108405.74,165587,1906021,2071608,NA,5.33,61.32,66.65,NA
2021-07-04,Adults (18+),Sex,Other,NA,62,166,228,NA,NA,NA,NA,NA
2021-07-04,Adults (18+),Sex,Prefer not to answer,NA,33,NA,38,NA,NA,NA,NA,NA
2021-07-04,Adults (18+),Sex,Unknown,NA,2232,44666,46898,NA,NA,NA,NA,NA
2021-07-04,All ages,Age,0-17,1704122.18,45566,153180,198746,NA,2.67,8.99,11.66,NA
2021-07-04,All ages,Age,18-24,704670.82,48845,339443,388288,NA,6.93,48.17,55.1,NA
2021-07-04,All ages,Age,25-34,1483699,77908,794024,871932,NA,5.25,53.52,58.77,NA
2021-07-04,All ages,Age,35-44,1136906,65735,701605,767340,NA,5.78,61.71,67.49,NA
2021-07-04,All ages,Age,45-54,1028087,56227,683322,739549,NA,5.47,66.47,71.93,NA
2021-07-04,All ages,Age,55-64,998924.42,50910,724320,775230,NA,5.1,72.51,77.61,NA
2021-07-04,All ages,Age,65-74,718795,32505,543949,576454,NA,4.52,75.68,80.2,NA
2021-07-04,All ages,Age,75-84,382674.58,16018,260299,276317,NA,4.19,68.02,72.21,NA
2021-07-04,All ages,Age,85+,178938,7416,95816,103232,NA,4.14,53.55,57.69,NA
2021-07-04,All ages,Borough,Citywide,8336817,401130,4295958,4697088,NA,4.81,51.53,56.34,NA
2021-07-04,All ages,Borough,Bronx,1421020.59,71060,599828,670888,NA,5,42.21,47.21,NA
2021-07-04,All ages,Borough,Brooklyn,2559903,111364,1157505,1268869,NA,4.35,45.22,49.57,NA
2021-07-04,All ages,Borough,Manhattan,1611420.17,80267,1020871,1101138,NA,4.98,63.35,68.33,NA
2021-07-04,All ages,Borough,Queens,2268330.23,120051,1290741,1410792,NA,5.29,56.9,62.2,NA
2021-07-04,All ages,Borough,Staten Island,476143,18388,227013,245401,NA,3.86,47.68,51.54,NA
2021-07-04,All ages,Race/ethnicity,Asian/NHPI,1233642,69238,823916,893154,NA,5.61,66.79,72.4,NA
2021-07-04,All ages,Race/ethnicity,Black,1825848,57268,528920,586188,NA,3.14,28.97,32.1,NA
2021-07-04,All ages,Race/ethnicity,Hispanic/Latino,2423590,120899,924925,1045824,NA,4.99,38.16,43.15,NA
2021-07-04,All ages,Race/ethnicity,Native American/Alaska Native,18864,1325,11462,12787,NA,7.02,60.76,67.79,NA
2021-07-04,All ages,Race/ethnicity,Other,NA,39902,388724,428626,NA,NA,NA,NA,NA
2021-07-04,All ages,Race/ethnicity,Multiracial,152897,219,3138,3357,NA,0.14,2.05,2.2,NA
2021-07-04,All ages,Race/ethnicity,Unknown,NA,43606,424467,468073,NA,NA,NA,NA,NA
2021-07-04,All ages,Race/ethnicity,White,2681976,68673,1190406,1259079,NA,2.56,44.39,46.95,NA
2021-07-04,All ages,Sex,Female,4358375.42,210578,2269338,2479916,NA,4.83,52.07,56.9,NA
2021-07-04,All ages,Sex,Male,3978441.58,188071,1980848,2168919,NA,4.73,49.79,54.52,NA
2021-07-04,All ages,Sex,Other,NA,67,171,238,NA,NA,NA,NA,NA
